7SK	8	144624279	144624570	+
A1BG	19	58856543	58864865	-
A1BG-AS1	19	58859116	58866549	+
A1CF	10	52559168	52645435	-
A2M	12	9220259	9268825	-
A2M-AS1	12	9217772	9220651	+
A2ML1	12	8975067	9039597	+
A2ML1-AS1	12	8928814	8983543	-
A2ML1-AS2	12	8972411	8973309	-
A3GALT2	1	33772366	33786699	-
A4GALT	22	43088126	43117304	-
A4GNT	3	137842559	137851229	-
AAAS	12	53701239	53718648	-
AACS	12	125549924	125627873	+
AADAC	3	151531824	151546276	+
AADACL2	3	151451703	151479127	+
AADACL3	1	12776117	12788726	+
AADACL4	1	12704565	12727097	+
AADAT	4	170981372	171012850	-
AAED1	9	99401858	99417585	-
AAGAB	15	67493370	67547533	-
AAK1	2	69688531	69901481	-
AAMDC	11	77532154	77629478	+
AAMP	2	219128849	219134980	-
AANAT	17	74449432	74466199	+
AAR2	20	34824380	34858840	+
AARD	8	117950437	117956726	+
AARS	16	70286197	70323446	-
AARS2	6	44267390	44281063	-
AARSD1	17	41102542	41116515	-
AASDH	4	57204455	57253666	-
AASDHPPT	11	105946227	105969437	+
AASS	7	121715700	121784334	-
AATF	17	35306174	35414171	+
AATK	17	79091094	79139877	-
AATK-AS1	17	79139306	79156964	+
ABAT	16	8768421	8878432	+
ABCA1	9	107543282	107690518	-
ABCA10	17	67143354	67240987	-
ABCA12	2	215796265	216003151	-
ABCA13	7	48211054	48687092	+
ABCA2	9	139901685	139923367	-
ABCA3	16	2325881	2390747	-
ABCA4	1	94458392	94586688	-
ABCA5	17	67240451	67323385	-
ABCA6	17	67074842	67138029	-
ABCA7	19	1040101	1065571	+
ABCA8	17	66863432	66951533	-
ABCA9	17	66970628	67057205	-
ABCA9-AS1	17	67000854	67014464	+
ABCB1	7	87133174	87342611	-
ABCB10	1	229652328	229694442	-
ABCB11	2	169779447	169887832	-
ABCB4	7	87031012	87109751	-
ABCB5	7	20654829	20816658	+
ABCB6	2	220074489	220083712	-
ABCB7	X	74273114	74376567	-
ABCB8	7	150725509	150744869	+
ABCB9	12	123405497	123466196	-
ABCC1	16	16043433	16236931	+
ABCC10	6	43395103	43418168	+
ABCC11	16	48200820	48281479	-
ABCC12	16	48116883	48189929	-
ABCC2	10	101542488	101611949	+
ABCC3	17	48712137	48769613	+
ABCC4	13	95672082	95953687	-
ABCC5	3	183637721	183735803	-
ABCC5-AS1	3	183724125	183729207	+
ABCC6	16	16242784	16317379	-
ABCC8	11	17414431	17498449	-
ABCC9	12	21950334	22094336	-
ABCD1	X	152990322	153010216	+
ABCD2	12	39943834	40013553	-
ABCD3	1	94883932	94984222	+
ABCD4	14	74752125	74769759	-
ABCE1	4	146019083	146050331	+
ABCF1	6	30539152	30564956	+
ABCF2	7	150904922	150924316	-
ABCF3	3	183903810	183911800	+
ABCG1	21	43619798	43717354	+
ABCG2	4	89011415	89152474	-
ABCG4	11	119019721	119033360	+
ABCG5	2	44039610	44066004	-
ABCG8	2	44066102	44105605	+
ABHD1	2	27346681	27353680	+
ABHD10	3	111697856	111712210	+
ABHD11	7	73150423	73153197	-
ABHD12	20	25275378	25371619	-
ABHD12B	14	51338877	51371688	+
ABHD13	13	108870726	108886603	+
ABHD14A	3	52005441	52015212	+
ABHD14A-ACY1	3	52009065	52023199	+
ABHD14B	3	52002525	52017425	-
ABHD15	17	27887564	27894155	-
ABHD16A	6	31654725	31671221	-
ABHD16B	20	62492565	62494341	+
ABHD17A	19	1876808	1885546	-
ABHD17B	9	74477367	74525847	-
ABHD17C	15	80972024	81047962	+
ABHD2	15	89630689	89745591	+
ABHD3	18	19230857	19284766	-
ABHD4	14	23067145	23081265	+
ABHD5	3	43731604	43775863	+
ABHD6	3	58223232	58281420	+
ABHD8	19	17402939	17421045	-
ABI1	10	27035521	27150016	-
ABI2	2	204192941	204312446	+
ABI3	17	47287588	47300587	+
ABI3BP	3	100467999	100712359	-
ABL1	9	133589332	133763062	+
ABL2	1	179068461	179198819	-
ABLIM1	10	116190871	116444762	-
ABLIM2	4	7967038	8160559	-
ABLIM3	5	148521045	148640105	+
ABR	17	906757	1132315	-
ABRA	8	107771710	107782473	-
ABRACL	6	139349818	139364439	+
ABT1	6	26597179	26600278	+
ABTB1	3	127391777	127399768	+
ABTB2	11	34172534	34379555	-
AC000003.2	17	10048830	10050277	+
AC000032.2	1	110235738	110236364	-
AC000036.4	22	51174252	51176567	-
AC000068.10	22	19444025	19444485	+
AC000068.5	22	19435415	19437628	+
AC000068.9	22	19441701	19442128	+
AC000099.1	7	126855180	126869975	+
AC000111.3	7	117200786	117204730	-
AC000111.6	7	117244844	117287469	-
AC000120.7	7	91829327	91836171	-
AC000123.4	7	126990181	126991577	+
AC000370.2	7	126019023	126064239	+
AC002044.4	16	73048217	73048375	-
AC002056.5	22	51179020	51181948	-
AC002059.10	22	29712732	29713209	-
AC002064.4	7	89895347	89899530	-
AC002066.1	7	115878313	116139519	-
